Title,Company,Location
Tecnology Solution - UI/UX Designer (HO),Baru!,PT Bukit Makmur Mandiri Utama
UI UX Designer,Baru!,Yayasan Hasnur Centre
UI/UX  Designer,Baru!,PT Sinergi Transformasi Digital
 Desainer UI/UX,Baru!,PT Bank Negara Indonesia (Persero) Tbk
UX Writer,Baru!,PT Bank Rakyat Indonesia (Persero) Tbk
UX Researcher & Writer,Baru!,PT Bank Rakyat Indonesia (Persero) Tbk
UI/UX Designer,Baru!,PT Bank Rakyat Indonesia (Persero) Tbk
UI/UX Designer (Kantor Pusat Jakarta),Baru!,BPJS Ketenagakerjaan
UI/UX Designer of CTARSA Foundation,Baru!,PT Trans Digital Media
UI/UX Designer ERP,Baru!,PT Trans Digital Media
UX Research Intern,Baru!,PT Paragon Pratama Teknologi
UI/UX Designer Intern,Baru!,PT Paragon Pratama Teknologi
UI/UX Designer,Baru!,PT Adma Digital Solusi
UI/UX Designer,Baru!,PT Citi Asia Internasional
UI/UX Designer,Baru!,PT Pilihanmu Indonesia Jaya
UI/UX Developer,Baru!,PT Otak Kanan
UI/UX Designer,Baru!,PT Arkatama Multi Solusindo
UI/UX Designer Intern ,Baru!,PT Nusantara Infrastructure Tbk
UI/UX Designer ,Baru!,PT Linkdataku Solusi Indonesia
Web UI/UX Designer,Baru!,PT Suitmedia Kreasi Indonesia
Mobile UI/UX Designer,Baru!,PT Suitmedia Kreasi Indonesia
UI/UX Designer,Baru!,PT Kurnia Ciptamoda Gemilang
UI UX ,Baru!,PT Widya Inovasi Indonesia
UI/UX Designer,PT. International Test Center,Kota Jakarta Selatan (WFO)
UX Writer,PT Home Credit Indonesia,Kota Jakarta Selatan (WFO)
UX Researcher,PT Home Credit Indonesia,Kota Jakarta Selatan (WFO)
UX Designer,PT Home Credit Indonesia,Kota Jakarta Selatan (WFO)
UI/UX Designer,PT Semesta Integrasi Digital,Kota Jakarta Selatan (WFO)
